"t" "y" "dy"
217 1.96042469125452 0.5
218 2.83833312648693 0.5
221 1.04243429603342 0.5
223 1.91552082385304 0.5
226 0.522636437586174 0.5
228 0.656824173533959 0.5
229 0.886033677836317 0.5
232 0.445034112032784 0.5
233 -0.113499311544933 0.5
236 1.82388885831375 0.5
237 0.985852371984485 0.5
239 0.580689606474282 0.5
240 1.53251827284134 0.5
243 1.25440896020398 0.5
244 0.968162406954309 0.5
246 1.81843444656255 0.5
249 1.85975016237058 0.5
253 2.82674604733918 0.5
256 0.993415699308688 0.5
258 1.22688697977769 0.5
259 0.210284693470333 0.5
260 0.82530462628838 0.5
261 0.257936879547138 0.5
262 0.667465879596776 0.5
263 0.223086754090206 0.5
264 0.577261869080497 0.5
265 0.772591353250224 0.5
268 0.0155791069352944 0.5
269 -1.27687857410969 0.5
271 -1.09096992060721 0.5
272 -0.58696213949318 0.5
273 -0.437035454181503 0.5
276 -0.903724096204579 0.5
277 -0.127346433207368 0.5
278 -0.770107488105041 0.5
280 -1.35066812248041 0.5
281 -1.34461896441124 0.5
282 -0.710440641246545 0.5
286 -2.40896582224176 0.5
287 -0.253243468312573 0.5
290 -1.16370621156021 0.5
291 -0.745467662770541 0.5
295 -2.10352247879591 0.5
296 -2.98600609491962 0.5
298 -2.8178862681966 0.5
299 -2.86683049416709 0.5
300 -2.05527056370396 0.5
303 -2.62183705177402 0.5
305 -2.78358937861776 0.5
306 -2.38801934158527 0.5
307 -2.18901057814305 0.5
309 -2.01547769523535 0.5
311 -1.25036762382481 0.5
312 -2.43724063818491 0.5
313 -1.53748803815904 0.5
316 0.4485937078276 0.5
317 0.549514448870264 0.5
319 1.17892022715201 0.5
321 0.715888878555877 0.5
322 1.21862161881231 0.5
323 1.27184555135293 0.5
324 1.92654810186486 0.5
326 2.28821375746844 0.5
327 2.84519539864426 0.5
328 1.83432917313035 0.5
329 1.68582906282506 0.5
330 1.90841751074118 0.5
332 2.54338011147102 0.5
335 1.39645304966267 0.5
336 1.59446456559245 0.5
337 1.83958323284864 0.5
338 2.21423493082779 0.5
339 2.10545166924176 0.5
340 2.20315469416268 0.5
341 3.6512599118933 0.5
343 2.38627946946135 0.5
345 3.29191592778754 0.5
346 3.6585197903256 0.5
347 2.30873554438982 0.5
350 2.07239184043631 0.5
354 2.91274822284272 0.5
358 0.876012452656037 0.5
359 1.72601807798454 0.5
362 0.965653996722643 0.5
368 -0.607007956619769 0.5
369 -0.564854336609792 0.5
373 -0.156449650997255 0.5
374 -0.207228517611068 0.5
375 0.818189591363597 0.5
377 0.203956579918269 0.5
381 -0.235267696118358 0.5
385 -0.615723404069035 0.5
388 0.639449490221131 0.5
390 0.44318045506107 0.5
393 2.08308292776082 0.5
394 1.19361210608684 0.5
396 1.42174448012763 0.5
397 2.42578573278835 0.5
398 2.96544446738575 0.5
399 2.76266087739361 0.5
400 2.12750006574888 0.5
404 2.03629735780725 0.5
409 0.98434859326142 0.5
411 1.39158219717801 0.5
414 0.34138835857248 0.5
415 1.0442470826713 0.5
417 0.328893216037358 0.5
419 -0.0274380103739771 0.5
422 -0.0539727977667152 0.5
423 -0.270768995698534 0.5
424 -0.753261685733388 0.5
425 -0.717715654664883 0.5
426 -0.278803479243603 0.5
429 -1.85518706175752 0.5
430 -2.41242375949637 0.5
431 -1.85233553399622 0.5
432 -1.46962438447971 0.5
433 -1.11964351738647 0.5
434 0.0235311582221573 0.5
436 -1.74756958074905 0.5
437 -1.8326435574312 0.5
442 -0.944795531979686 0.5
444 -1.54687258726781 0.5
445 -1.66267577302217 0.5
450 -2.67323195361238 0.5
455 -2.02786679845473 0.5
456 -0.109938298786449 0.5
458 -0.702835173148518 0.5
460 -1.99244355546124 0.5
462 -1.60672989030826 0.5
463 -0.606004148081317 0.5
466 -0.68292616753633 0.5
467 -0.238243741310582 0.5
469 -0.811417362349858 0.5
470 0.334367542597715 0.5
471 0.937503304719816 0.5
475 2.1734704377663 0.5
476 1.68085571177785 0.5
482 0.712038580853766 0.5
484 0.221799376999158 0.5
485 0.828417154146143 0.5
488 0.498602849843111 0.5
493 -1.57052697520309 0.5
494 -0.392169882720111 0.5
495 -1.03044805597141 0.5
496 -0.243275239530183 0.5
498 -0.383494578964736 0.5
500 -1.23626806901901 0.5
503 -0.924923574348902 0.5
504 -1.35312609197865 0.5
506 -1.65564580027781 0.5
509 -1.73547792116362 0.5
510 -1.29998594762915 0.5
516 -0.0894660924375467 0.5
519 -0.494007111827917 0.5
520 -0.98676112609043 0.5
521 -1.03164415340336 0.5
522 -1.12256195361955 0.5
523 0.174164641104863 0.5
525 -0.424980224622364 0.5
528 -1.93844102474829 0.5
529 -1.49193231460319 0.5
530 -0.514643222259717 0.5
531 -1.53446547542976 0.5
533 -1.12039681291067 0.5
536 -0.170141545442245 0.5
539 0.166230962337704 0.5
541 -1.51520493345894 0.5
542 -1.03740036000989 0.5
545 -1.59105662198165 0.5
548 -1.32927215286197 0.5
550 -0.685246845298033 0.5
551 -2.60177225984533 0.5
552 -2.01336357835721 0.5
554 -2.10483450307349 0.5
558 -2.22089620232902 0.5
561 -1.60255403969044 0.5
562 -0.856252831154447 0.5
563 -1.19323913243421 0.5
564 -2.05402455294479 0.5
566 -1.51783699301635 0.5
567 -1.80690685263423 0.5
579 -1.74575516387123 0.5
581 -1.63864868241954 0.5
582 -2.0896040762662 0.5
585 -1.7450825837959 0.5
588 -1.44680384255872 0.5
589 -1.86721134809357 0.5
590 -2.46494972135787 0.5
591 -2.54104073676095 0.5
592 -1.65442551205303 0.5
595 -1.77012673921386 0.5
596 -1.41333204281626 0.5
597 -2.18372562923139 0.5
598 -0.907654588539786 0.5
599 -0.0263041537739546 0.5
